Name,Price,Rating,Availability,Product URL
Power. It’s in the Air.,N/A,4.5,N/A,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RBeS8TTkKC6qI4PLGZC2sUcAAAGQNJGH9gMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICAaZkus/https://www.amazon.in/stores/page/7EADD116-0941-4C15-A480-94AF6FFF3B43/?_encoding=UTF8&store_ref=SB_A06808443K9KR8VS450F1-A08014543B27SJYFNXNJZ&pd_rd_plhdr=t&aaxitk=41a6a6da87dbb84c071b261279f78701&hsa_cr_id=0&lp_asins=B0B3BQ11LP%2CB0B3BS9BRW&lp_query=laptop&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=t0huX&content-id=amzn1.sym.df9fe057-524b-4172-ac34-9a1b3c4e647d%3Aamzn1.sym.df9fe057-524b-4172-ac34-9a1b3c4e647d&pf_rd_p=df9fe057-524b-4172-ac34-9a1b3c4e647d&pf_rd_r=8D2X7MKJXHSHE4ZH438X&pd_rd_wg=KyrN4&pd_rd_r=865bab64-0f3a-4c2a-83e4-6e323dc1ad97
N/A,N/A,N/A,N/A,N/A
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","45,990",3.8,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  3.8 out of 5 stars 412  ₹45,990₹45,990 M.R.P: ₹64,990₹64,990 (29% off)Flat INR 1000 Off on HDFC Bank Credit CardService: Device SetupAdd to cart-Remove",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTMzOTQ2NTQzNTExNzE6MTcxODg2ODg3MTpzcF9hdGY6MzAwMjA4MDc2NjA3NDMyOjowOjo&url=%2FAcer-i5-1235U-Windows-Graphics-AL15-52%2Fdp%2FB0CLTW4D7T%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1718868870%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Space Black","3,79,990",2.6,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Space Black  2.6 out of 5 stars 8  ₹3,79,990₹3,79,990 M.R.P: ₹3,99,900₹3,99,900 (5% off)Flat INR 5000 Off on SBI Credit CardsAdd to cart-Remove",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NTMzOTQ2NTQzNTExNzE6MTcxODg2ODg3MTpzcF9hdGY6MzAwMDg1NDAzMjE4NzMyOjowOjo&url=%2FApple-MacBook-16-inch-16%25E2%2580%2591core-40%25E2%2580%2591core%2Fdp%2FB0CM5SZ7CP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1718868870%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","22,990",4.0,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  4.0 out of 5 stars 1,534  500+ bought in past month₹22,990₹22,990 M.R.P: ₹36,990₹36,990 (38% off)Save extra with No Cost EMIService: Device SetupAdd to cart-Remove",https://www.amazon.in/ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E&dib_tag=se&keywords=laptop&qid=1718868870&sr=8-3
"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","20,990",4.0,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W  4.0 out of 5 stars 1,534  400+ bought in past month₹20,990₹20,990 M.R.P: ₹33,990₹33,990 (38% off)Save extra with No Cost EMIService: Device SetupAdd to cart-Remove",https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_4?dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E&dib_tag=se&keywords=laptop&qid=1718868870&sr=8-4
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN","38,990",4.0,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.61Kg), 82R400ERIN  4.0 out of 5 stars 1,808  500+ bought in past month₹38,990₹38,990 M.R.P: ₹58,390₹58,390 (33% off)Save extra with No Cost EMIService: Device SetupAdd to cart-RemoveMore Buying Choices₹38,800(5 new offers)",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_5?dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E&dib_tag=se&keywords=laptop&qid=1718868870&sr=8-5
N/A,"59,990",4.1,Sponsored,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExMDk3NDc0NDMzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Windows-82RK011EIN%2Fdp%2FB0CMGZCDRW%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CMGZCDRW%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"59,990",4.1,"Lenovo IdeaPad 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Laptop 82RK011GIN (39.62 cm, Arctic Grey, 1.63 Kg, with MS Office)  4.1 out of 5 stars 509  Limited time deal  ₹59,990₹59,990 M.R.P: ₹82,990₹82,990 (28% off)Upto 10% Off on select cardsService: Device Setup",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExMDk3NDc0NDMzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Windows-82RK011EIN%2Fdp%2FB0CMGZCDRW%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CMGZCDRW%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"51,890",4.0,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  4.0 out of 5 stars 963  500+ bought in past month₹51,890₹51,890 M.R.P: ₹68,223₹68,223 (24% off)Upto 10% Off on select cardsService: Device Setup",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxNDQzODY1MDgzMjo6MTo6&url=%2FHP-i5-1235U-15-6-inch-graphics-speakers%2Fdp%2FB0CTKHTNWL%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CTKHTNWL%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"35,990",4.0,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BGIN  4.0 out of 5 stars 1,808  200+ bought in past month₹35,990₹35,990 M.R.P: ₹68,990₹68,990 (48% off)Save extra with No Cost EMI  Alexa Built-in Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your Smart Home, get news, weather and more using your voice. Service: Device Setup",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA3MDc4NzE0MzUzMjo6Mjo6&url=%2FLenovo-IdeaPad-39-62cm-Windows-82R400BGIN%2Fdp%2FB09MM58Y7Q%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB09MM58Y7Q%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"84,990",4.1,"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  4.1 out of 5 stars 153  Limited time deal  ₹84,990₹84,990 M.R.P: ₹1,16,990₹1,16,990 (27% off)Save extra with No Cost EMIService: Device Setup",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2Njk0MTUwNTgzMjo6Mzo6&url=%2FASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS%2Fdp%2FB0CHMZRC89%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CHMZRC89%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
N/A,"67,450",3.9,"HP Pavilion x360 2-in-1 Laptop 13th Gen Intel Core i5-1335U, 14-inch (39.6 cm) FHD,Multitouch, 16GB RAM, 512GB SSD, Intel Iris X Graphics, B&O, Pen, FPR (Win 11, MSO, 1.69kg), 14-ek1074TU  3.9 out of 5 stars 41  ₹67,450₹67,450 M.R.P: ₹91,615₹91,615 (26% off)Save extra with No Cost EMIService: Device Setup",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTMxMzU4OTE1MTYzMTcxOjE3MTg4Njg4NzE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2Njk0MTUwNzYzMjo6NDo6&url=%2FHP-Pavilion-Laptop-Multitouch-14-ek1074TU%2Fdp%2FB0CJ2KWNNQ%2Fref%3Dsxin_12_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.27z79kD6GtYXfzeBFam5UwOx7RtVbjmaEBEsiFULo91q9SFX7s9faBgx7IglgLyGns-l6FxcsxFAFox_n5j4Aw.XgQ6c2cz57kT4WPnYcCkhEeODLiV_KSFWj0UAdVeNDY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CJ2KWNNQ%26pd_rd_r%3Ddbf0cfb4-0d2f-484f-8984-d5f103c1863a%26pd_rd_w%3DgDCPV%26pd_rd_wg%3DduXKp%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3D8D2X7MKJXHSHE4ZH438X%26qid%3D1718868870%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
SIDRUM Camera Backpack Waterproof Camera Bag | Large Capacity Camera Case with 15 Inch Laptop Compartment & Rain Cover | for Photographer carrying DSLR SLR Cameras Lens Tripods,"1,999",4.2,"Sponsored SIDRUM Camera Backpack Waterproof Camera Bag | Large Capacity Camera Case with 15 Inch Laptop Compartment & Rain Cover | for Photographer carrying DSLR SLR Cameras Lens Tripods  4.2 out of 5 stars 127  ₹1,999₹1,999 M.R.P: ₹2,999₹2,999 (33% off)",https://www.amazon.inhttps://aax-eu.amazon.in/x/c/RI0NQXhTBz1HAspEQUSAA7cAAAGQNJGHzgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICAKA-vY/https://www.amazon.in/dp/B0BG29FDC7?pd_rd_i=B0BG29FDC7&pf_rd_p=b42c24c1-350c-4ffc-af23-8292fe4c8462&pf_rd_r=8D2X7MKJXHSHE4ZH438X&pd_rd_wg=duXKp&pd_rd_w=UvE1N&pd_rd_r=dbf0cfb4-0d2f-484f-8984-d5f103c1863a
N/A,N/A,N/A,N/A,N/A
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","16,490",3.6,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  3.6 out of 5 stars 4,036  200+ bought in past monthLimited time deal  ₹16,490₹16,490 M.R.P: ₹34,990₹34,990 (53% off)Save extra with No Cost EMIService: Device SetupAdd to cart-Remove",https://www.amazon.in/Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B00OKAFZHO/ref=sr_1_6?dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E&dib_tag=se&keywords=laptop&qid=1718868870&sr=8-6
"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg","35,990",3.8,"Best sellerin Traditional Laptops  Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg  3.8 out of 5 stars 673  500+ bought in past month₹35,990₹35,990 M.R.P: ₹57,778₹57,778 (38% off)Save extra with No Cost EMIService: Device SetupAdd to cart-Remove",https://www.amazon.in/gp/bestsellers/computers/22963796031/ref=sr_bs_6_22963796031_1
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU","51,890",4.0,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  4.0 out of 5 stars 963  500+ bought in past month₹51,890₹51,890 M.R.P: ₹68,223₹68,223 (24% off)Upto 10% Off on select cardsService: Device SetupAdd to cart-RemoveMore Buying Choices₹51,790(9 new offers)",https://www.amazon.in/HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5OqnqKdKm-sUEV5BacIdcBzsHTA4QF4qBrso8u6StR9EsseMACoVT60d2RtLE-SKzJrdNDyKjK_fZpoGnGZc7r7o8N9OwbHpskqzjUCfWKQWyVJ6FJpxKLz9tRP2LO7ABKWmCf96umvg3KBD8Ec36CHatJ02RgtSxUYcdaadtk471sVIeGxCqsjM_9ZRdCQYFG1m6ZyKtGRj38b1xSyE9NE.E1STvG2ho2-DqYC1AeQae7B_yg2v4_GXZMP6jLSzh_E&dib_tag=se&keywords=laptop&qid=1718868870&sr=8-8
